"";"plot";"prop_ced";"prop_hydrosoil";"prop_fire";"prop_ba_removed";"DivTaxo_Shann";"DivPhylo_Shann";"DivFctnal_Shann";"Sylviculture";"Cedrela_classes";"Fire_classes"
"1";"1";0,122268701150394;0;0,653754674156456;0,286;40,9874238287239;15,1373059568916;9,98882122545421;"1";"[0.0874,0.164]";"(0.532,0.903]"
"2";"2";0,256277863334459;0;0,276410864200972;0;31,1404065605113;12,409921660518;9,02168531746384;"0";"(0.226,0.46]";"[0.117,0.36]"
"3";"3";0,164457156810906;0;0,360113315649384;0;33,6100830909866;12,8433358034161;9,51518936538236;"0";"[0.0874,0.164]";"[0.117,0.36]"
"4";"4";0,0874457714960552;0,0446461421557673;0,632691102792772;0,16;36,1353954035659;13,72771013201;9,56937347023454;"1";"[0.0874,0.164]";"(0.532,0.903]"
"5";"5";0,185699808839448;0,48963060367915;0,284542967268115;0;54,9925386392184;19,0631916516408;9,1673242853113;"0";"(0.164,0.226]";"[0.117,0.36]"
"6";"6";0,134274149793658;0;0,499445209465495;0,272;33,8766835249067;13,0677457430401;9,21097601017522;"1";"[0.0874,0.164]";"(0.36,0.532]"
"7";"7";0,206184009396819;0,427856912838348;0,531873242469256;0,211;44,9985020465473;15,3274799933848;9,79865680231348;"1";"(0.164,0.226]";"(0.36,0.532]"
"8";"8";0,122209407119007;0;0,123842293789473;0;30,7313734341807;14,0915011527172;8,34205191005523;"0";"[0.0874,0.164]";"[0.117,0.36]"
"9";"9";0,191655805795442;0;0,634278934680099;0,35;44,7322573443694;18,1407470865996;9,52311031518525;"1";"(0.164,0.226]";"(0.532,0.903]"
"10";"10";0,246320472508708;0,471186175094656;0,713083937792068;0,287;50,7935317268096;18,2881204163964;9,13511803142261;"1";"(0.226,0.46]";"(0.532,0.903]"
"11";"11";0,410389456243702;0;0,87433209901863;0,288;34,0100624357593;12,5161928716716;9,00818186173278;"1";"(0.226,0.46]";"(0.532,0.903]"
"12";"12";0,140974839907152;0;0,376424955985642;0,159;36,6437835660959;13,2403685647394;9,24772323160914;"1";"[0.0874,0.164]";"(0.36,0.532]"
"13";"13";0,259935503685504;0;0,329554043070074;0;29,8117079298944;12,6173446951644;8,29350241502324;"0";"(0.226,0.46]";"[0.117,0.36]"
"14";"14";0,17973461494468;0;0,350922385058089;0;45,5487348871233;17,832194280939;10,3877765306065;"0";"(0.164,0.226]";"[0.117,0.36]"
"15";"15";0,256777761030083;0;0,434603937185062;0;39,9296696602954;16,8831195909046;10,1394458139128;"0";"(0.226,0.46]";"(0.36,0.532]"
"16";"16";0,46029095783165;0,487441390955613;0,728647363564332;0,263;18,0755178988119;9,42483827235719;6,90061613811925;"1";"(0.226,0.46]";"(0.532,0.903]"
"17";"17";0,136872754261072;0;0,382186563178131;0;26,608655978595;11,5229497879361;7,78445892780419;"0";"[0.0874,0.164]";"(0.36,0.532]"
"18";"18";0,131237346919223;0,0786625347941505;0,363139149278745;0,426;36,3771243636878;13,3992474125615;9,51483184643838;"1";"[0.0874,0.164]";"(0.36,0.532]"
"19";"19";0,11488993882925;0;0,50596117393332;0,357;38,8898677167368;13,7058327024699;9,97916303526274;"1";"[0.0874,0.164]";"(0.36,0.532]"
"20";"20";0,383765194611223;0;0,903228196849738;0,428;39,490325747599;13,6493802339886;8,52525085100733;"1";"(0.226,0.46]";"(0.532,0.903]"
"21";"21";0,188312686044504;0,0243386545740525;0,191041105839268;0,341;28,2334427015763;12,9761350603416;7,7639932681552;"1";"(0.164,0.226]";"[0.117,0.36]"
"22";"22";0,390403495840637;0,13719396180198;0,748981591719669;0,274;23,7163048963028;9,90839668673116;7,50869395892154;"1";"(0.226,0.46]";"(0.532,0.903]"
"23";"23";0,225839821356053;0,489563226240583;0,117031800685505;0;42,2443455713693;15,543162979902;9,12611307715932;"0";"(0.164,0.226]";"[0.117,0.36]"
"24";"24";0,203614290187219;0;0,512774924173891;0,322;18,4042791290847;8,56539547292288;5,79358061676234;"1";"(0.164,0.226]";"(0.36,0.532]"
"25";"25";0,169008712443964;0;0,144725086133856;0;41,9007441828729;16,2796153827304;9,02365383072665;"0";"(0.164,0.226]";"[0.117,0.36]"
